Artist,Appearances,Unique_Songs,Best_Rank
Anuv Jain,36,2,11
"Karan Aujla, Ikky",34,2,12
Gajendra Verma,25,2,17
BTS,22,8,9
Banjaare,18,1,1
Aditya Rikhari,18,1,4
Navjot Ahuja,18,1,5
"Mitta Ror, Swara Verma",17,1,2
"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",17,1,3
"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",17,1,4
"Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",17,1,6
"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",17,1,7
"Kushagra, Bharath, Saaheal",17,1,9
"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",17,1,9
"Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",17,1,9
"Sai Abhyankkar, Shruti Haasan, Vivek",17,1,12
"Faheem Abdullah, Rauhan Malik, Amir Ameer",17,1,13
"Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",17,1,13
"Virat, Pradeep Solanki, Heena",17,1,13
"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",17,1,16
"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",17,1,17
"Sachet-Parampara, Parampara Tandon, Kausar Munir",17,1,19
"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",17,1,20
"Shashwat Sachdev, Afsana Khan, Irshad Kamil, Reble",17,1,21
"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",17,1,24
"A.R. Rahman, Irshad Kamil",17,1,24
"Mithoon, Arijit Singh, Sunidhi Chauhan, Sayeed Quadri",17,1,25
"Alka Yagnik, Arijit Singh",17,1,27
"Anirudh Ravichander, Jangi Reddy, Arjun Chandy, Kasarla Shyam",17,1,27
"Shashwat Sachdev, Simran Choudhary",17,1,27
"Vishal Mishra, Hansika Pareek, Raj Shekhar",17,1,28
"Talwiinder, NDS, Rippy Grewal",17,1,29
"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",17,1,30
"Pritam, Javed Bashir, Rajat Arora",17,1,31
Dhanda Nyoliwala,17,1,32
"The Rish, Jubin Nautiyal",17,1,35
"Faheem Abdullah, Duha Shah, Vaibhav Pani, Hyder Dar",17,1,36
"Kailash Kher, Paresh Kamath, Naresh Kamath",15,1,40
"Shashwat Sachdev, Bombay Rockers, Irshad Kamil, Khan Saab, Reble, Token, Jasmine Sandlas, Sudhir Yaduvanshi",14,2,3
"thiarajxtt, Bir",13,1,27
"G. V. Prakash, Ken Karunaas",12,1,33
"Shashwat Sachdev, Jasmine Sandlas, Satinder Sartaaj",11,1,2
"Arijit Singh, Chinmayi",11,1,37
Shashwat Sachdev,10,10,3
"Shashwat Sachdev, Reble, Asha Bhosle, R. D. Burman, Majrooh Sultanpuri",10,1,26
"Shashwat Sachdev, Arijit Singh, Irshad Kamil",9,2,20
"Shashwat Sachdev, Jasmine Sandlas, Reble",9,2,29
"Shashwat Sachdev, Khan Saab, Nusrat Fateh Ali Khan",7,1,6
Arijit Singh,7,2,8
"ARJN, KDS, FIFTY4, RONN",7,1,36
"Arijit Singh, Harshdeep Kaur",6,1,33
"AP Dhillon, Shreya Ghoshal",6,1,42
"Shashwat Sachdev, Anuradha Paudwal, Udit Narayan, Anand-Milind, Sameer Anjaan, Qveen Herby",6,1,47
"Neeti Mohan, Abhijit Vaghani",5,1,43
"Mithoon, Arijit Singh",5,1,47
"Shashwat Sachdev, Khan Saab",4,1,7
"Maanu, Annural Khalid, Abdullah Siddiqui",4,1,44
Jind Universe,4,1,47
"Shashwat Sachdev, Jyoti Nooran, Jasmine Sandlas, Reble",3,1,41
Karan Aujla,2,2,16
Faheem Abdullah,2,2,22
A.R. Rahman,2,2,28
"Hellow Raja, MaxxTurnn",2,1,35
Mithoon,2,2,38
"Sai Abhyankkar, Paal Dabba, Bhumi, Deepthi Suresh",2,1,45
"Diljit Dosanjh, Da Future, Virk Andaaz",2,1,48
Mitta Ror,1,1,2
Paresh Pahuja,1,1,6
Kushagra,1,1,9
Sachin-Jigar,1,1,10
Jawad Ahmad,1,1,11
Sai Abhyankkar,1,1,17
Virat,1,1,19
Tanishk Bagchi,1,1,20
Sachet-Parampara,1,1,23
Zeeshan Ali,1,1,25
Atif Aslam,1,1,27
"Jasmine Sandlas, Shashwat Sachdev, Reble",1,1,27
Vishal Mishra,1,1,29
Anirudh Ravichander,1,1,31
"Hariharan, Lalit Sen, Chander",1,1,34
Alka Yagnik,1,1,35
Talwiinder,1,1,36
G. V. Prakash,1,1,39
Pritam,1,1,40
The Rish,1,1,41
ARJN,1,1,42
AP Dhillon,1,1,45
Kailash Kher,1,1,46
"Manish Sonipat Aala, Bali Sharma, Vampire",1,1,47
"Anand Raj Anand, Kalpana Patowary, Chorus",1,1,48
"Shashwat Sachdev, Jubin Nautiyal, Irshad Kamil",1,1,48
thiarajxtt,1,1,49
