Date,Rank,Song,Artist
2026-03-15,1,Bairan,Banjaare
2026-03-15,2,Sheesha - Aakhya Mai Aakh Ghali Jo Bairan,"Mitta Ror, Swara Verma"
2026-03-15,3,Gehra Hua,"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan"
2026-03-15,4,Sahiba,Aditya Rikhari
2026-03-15,5,Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose"
2026-03-15,6,Khat,Navjot Ahuja
2026-03-15,7,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal"
2026-03-15,8,"Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya"
2026-03-15,9,Shararat,"Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas"
2026-03-15,10,Finding Her,"Kushagra, Bharath, Saaheal"
2026-03-15,11,Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya"
2026-03-15,12,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain
2026-03-15,13,Bairi,"Virat, Pradeep Solanki, Heena"
2026-03-15,14,Ishq,"Faheem Abdullah, Rauhan Malik, Amir Ameer"
2026-03-15,15,For A Reason,"Karan Aujla, Ikky"
2026-03-15,16,Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil"
2026-03-15,17,Mann Mera,Gajendra Verma
2026-03-15,18,Boyfriend,"Karan Aujla, Ikky"
2026-03-15,19,Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon"
2026-03-15,20,"Raanjhan (From ""Do Patti"")","Sachet-Parampara, Parampara Tandon, Kausar Munir"
2026-03-15,21,Tere Liye,"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan"
2026-03-15,22,Dhurandhar - Title Track,"Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan"
2026-03-15,23,Jo Tum Mere Ho,Anuv Jain
2026-03-15,24,Tere Bina,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan"
2026-03-15,25,Deewaana Deewaana,"A.R. Rahman, Irshad Kamil"
2026-03-15,26,"Pavazha Malli - From ""Think Indie""","Sai Abhyankkar, Shruti Haasan, Vivek"
